offer_id;price;date_time;room;square;floor;all_floors;first/last;district
3740338125;3420000;2024-07-17 17:48:14;0;24.3;17;18;0;8
3988744322;10500000;2024-08-05 14:54:43;2;63.0;7;25;0;3
4216500542;5000000;2024-08-09 09:09:30;2;45.0;2;5;0;3
4054056420;3600000;2024-08-06 07:29:07;0;28.0;15;16;0;8
4128038144;5950000;2024-08-09 00:37:58;3;59.0;4;5;0;8
3801100243;4100000;2024-08-10 12:53:44;1;40.0;4;6;0;2
4189601557;6300000;2024-08-05 11:42:42;3;55.0;8;9;0;5
4228298926;5750000;2024-08-10 09:43:32;1;33.3;8;22;0;7
4019529190;5450000;2024-08-09 13:14:04;1;39.0;3;10;0;7
4082755258;5170000;2024-08-09 13:12:31;1;42.0;9;11;0;2
2292853180;4400000;2024-08-08 17:54:15;1;28.3;5;5;1;2
4221646766;11400000;2024-08-07 21:32:39;3;78.0;7;22;0;7
4338291756;5700000;2024-08-09 18:50:14;2;40.0;4;5;0;2
4031809170;3850000;2024-07-18 16:06:21;1;37.7;2;5;0;6
3573260096;4500000;2024-08-10 17:18:46;2;45.0;3;5;0;7
2747103052;12000000;2024-08-10 20:49:35;3;86.8;19;24;0;5
3865423240;3500000;2024-08-08 00:01:39;1;35.4;1;6;1;1
4175016230;5600000;2024-08-08 18:31:17;2;47.6;4;5;0;1
3849504262;6700000;2024-08-08 11:34:07;3;65.1;10;10;1;8
4095574593;6000000;2024-08-06 21:30:42;3;62.7;3;9;0;6
4578272645;3600000;2024-08-11 00:15:27;2;41.7;3;5;0;5
4243268895;7500000;2024-08-07 20:02:37;1;47.5;10;25;0;7
3996859084;3300000;2024-07-31 21:05:42;1;29.8;6;9;0;8
3807892533;3350000;2024-07-28 17:35:31;1;36.6;14;16;0;5
4159774992;6300000;2024-07-31 14:31:51;2;42.0;11;16;0;8
3915822076;5800000;2024-08-08 14:57:45;2;50.7;7;19;0;7
3868728936;8300000;2024-08-04 13:31:16;2;60.0;5;8;0;2
4000913149;2500000;2024-08-07 17:26:04;1;22.9;5;9;0;5
3846480846;3500000;2024-07-21 14:54:22;1;32.0;3;5;0;1
4146873386;11300000;2024-08-08 11:20:18;1;45.0;14;15;0;4
2603155110;2300000;2024-08-05 02:03:11;1;26.4;1;2;1;7
187757824;12900000;2024-08-08 16:42:07;3;235.0;1;5;1;2
3862930840;24900000;2024-08-05 19:32:12;2;90.1;6;14;0;4
4078627399;5100000;2024-07-26 21:10:55;3;58.0;2;5;0;8
2438968879;14800000;2024-08-07 18:25:53;2;107.0;14;14;1;1
4030655337;4530000;2024-07-22 15:36:49;2;41.3;3;5;0;6
4051669887;5850000;2024-07-19 22:35:49;1;47.0;9;15;0;7
3894456507;7500000;2024-07-17 21:56:13;2;50.0;8;9;0;3
3975623370;7950000;2024-07-17 22:35:55;4;97.6;7;16;0;5
3723133064;7290000;2024-08-05 15:44:12;1;41.0;14;25;0;5
4240153228;6500000;2024-08-03 19:12:11;2;44.8;18;25;0;8
3794638239;5990000;2024-07-20 10:32:13;2;53.1;4;10;0;8
4083315817;13200000;2024-08-06 07:52:12;2;47.0;15;25;0;3
2774823801;8800000;2024-08-04 09:17:38;1;46.0;6;17;0;4
3639192393;7500000;2024-08-02 23:34:11;2;50.0;15;24;0;2
3929795109;9000000;2024-08-02 15:22:19;1;46.2;15;25;0;4
3996408005;5990000;2024-07-27 23:35:26;0;32.9;24;24;1;7
4229312081;9400000;2024-08-02 13:26:46;2;67.0;2;17;0;3
3485424781;15150000;2024-07-30 16:01:37;2;74.0;5;15;0;3
3847735197;10950000;2024-07-30 10:57:53;4;90.3;2;5;0;5
3628643813;7000000;2024-08-03 08:50:12;1;42.3;8;12;0;8
4498401984;7250000;2024-08-04 20:09:54;2;55.5;7;10;0;8
4215975596;3850000;2024-07-26 16:21:02;0;32.2;10;19;0;7
4218312638;5880000;2024-07-25 18:09:37;1;38.7;22;24;0;7
3871110617;6900000;2024-07-25 13:28:20;3;78.3;6;18;0;6
3964835774;27989000;2024-07-23 10:19:16;4;126.1;7;17;0;4
3863641950;5850000;2024-07-22 23:48:06;3;63.0;1;9;1;5
4167497731;5990000;2024-07-21 18:03:01;2;47.1;9;10;0;1
2730594731;4400000;2024-07-21 09:19:18;1;36.4;3;9;0;5
4060316460;4900000;2024-07-19 13:30:38;1;38.8;9;14;0;7
4218356102;7100000;2024-08-01 14:08:54;1;40.0;7;25;0;3
4022660661;14850000;2024-08-01 00:37:36;2;54.0;8;18;0;2
2485099909;4350000;2024-08-02 12:06:29;2;55.0;3;3;1;0
4059099292;6850000;2024-07-18 21:07:00;1;38.1;22;24;0;1
1492339975;13500000;2024-08-04 16:47:22;2;75.0;2;4;0;7
2292656209;15869828;2024-07-22 13:58:20;3;73.0;2;5;0;4
4345718485;5950000;2024-08-04 00:19:30;0;24.3;2;15;0;4
3850561873;10600000;2024-07-26 14:27:30;3;70.0;15;24;0;7
3677085231;13000000;2024-07-30 12:18:06;3;115.0;13;16;0;8
4143700055;14000000;2024-07-25 16:20:45;3;98.2;4;8;0;1
3894014898;5900000;2024-07-24 18:36:10;1;37.0;23;25;0;7
2649224812;10000000;2024-07-24 14:25:58;1;45.0;9;22;0;4
2611734208;5200000;2024-07-21 06:26:54;3;52.0;5;5;1;6
4143620821;14990000;2024-07-23 19:22:23;4;100.0;4;5;0;7
3256924051;8500000;2024-07-29 16:37:32;1;50.0;13;20;0;1
3962084811;8700000;2024-07-24 14:15:37;3;73.0;7;10;0;8
2183065395;7800000;2024-07-18 07:16:55;3;76.9;2;5;0;7
3830090783;8150000;2024-07-17 17:18:18;3;63.8;21;24;0;1
4306533522;4200000;2024-07-29 12:56:23;1;23.0;7;9;0;8
4497702038;5400000;2024-07-24 19:03:06;1;31.0;15;23;0;7
4221554121;4300000;2024-08-08 02:12:43;1;40.6;6;18;0;5
4157161585;6000000;2024-08-07 16:09:17;3;64.0;9;9;1;1
3837331095;5300000;2024-08-10 09:01:23;1;41.2;9;17;0;8
4021286791;3300000;2024-08-09 15:57:45;0;23.5;3;9;0;2
4153210228;6500000;2024-08-06 21:43:02;0;31.5;15;17;0;4
4098726622;6500000;2024-08-10 23:05:44;1;47.0;4;6;0;2
4222086831;5900000;2024-08-08 18:45:25;1;37.2;18;20;0;2
4207072595;38020000;2024-08-10 20:03:52;4;93.0;4;4;1;3
4291665986;7300000;2024-08-10 15:46:50;2;42.0;7;12;0;3
3633213128;5650000;2024-08-10 15:56:51;1;40.0;8;9;0;4
2413035804;5400000;2024-08-08 12:23:57;1;44.6;1;3;1;2
4160035968;7600000;2024-08-08 15:45:11;3;68.4;10;10;1;4
2372104986;4500000;2024-08-10 15:25:52;2;41.8;2;4;0;5
4075265800;10800000;2024-08-08 15:23:02;3;56.0;8;20;0;4
4163280326;3600000;2024-08-07 21:24:59;1;27.7;3;5;0;5
4237780255;9950000;2024-08-10 13:14:52;3;60.0;2;9;0;3
4085636022;5900000;2024-08-10 10:45:35;2;57.6;5;10;0;1
4244464969;4300000;2024-08-03 00:18:02;1;39.5;18;18;1;1
4152697420;15100000;2024-08-10 00:56:53;1;42.0;14;32;0;4
2681657509;7350000;2024-08-07 13:55:49;3;80.0;3;24;0;7
2851253906;3050000;2024-08-10 09:04:14;1;31.0;3;9;0;6
3591872661;11200000;2024-08-09 08:15:43;2;62.0;18;19;0;2
4069114364;4950000;2024-08-10 23:13:30;1;28.0;5;9;0;1
4015789166;5850000;2024-08-10 09:17:15;1;41.0;7;17;0;5
4119629483;5490000;2024-08-07 10:18:22;2;78.4;2;3;0;0
4063729345;4800000;2024-08-09 11:37:09;3;60.0;5;5;1;1
3794280169;4970000;2024-08-10 19:05:39;1;42.0;7;10;0;2
3784161314;16450000;2024-08-05 11:45:31;3;70.0;16;19;0;3
3811945117;8875000;2024-08-08 15:26:21;3;71.3;7;24;0;3
4152589844;4700000;2024-08-10 14:37:20;1;36.6;7;23;0;7
4362161135;7390000;2024-08-05 17:12:37;2;58.4;15;16;0;8
3630933764;5650000;2024-08-07 20:04:15;1;31.0;2;18;0;7
4073332818;6400000;2024-08-06 16:04:33;2;52.0;3;9;0;1
4292526666;5800000;2024-08-09 01:48:03;1;39.0;1;5;1;2
4363761816;3600000;2024-08-07 12:15:46;1;29.5;4;5;0;7
4160587041;5100000;2024-08-09 09:49:24;0;25.0;19;25;0;4
4017393571;6220000;2024-08-10 12:46:44;0;30.0;17;19;0;4
4049266958;6250000;2024-08-08 11:19:48;1;43.0;9;19;0;8
3623652423;5200000;2024-08-10 08:34:29;1;37.0;3;4;0;0
4123072644;9300000;2024-08-07 17:26:56;1;50.5;11;13;0;3
3866575909;16800000;2024-08-10 09:11:55;2;50.0;18;22;0;4
3748327051;13800000;2024-08-07 10:18:50;3;81.4;3;4;0;5
4015232145;7750000;2024-08-09 11:45:15;3;60.0;1;5;1;3
4021827869;8750000;2024-08-05 09:46:30;3;55.0;8;23;0;5
4315069110;3760000;2024-08-10 12:50:44;2;52.0;16;17;0;5
4459719506;16000000;2024-08-10 18:08:25;2;63.0;4;23;0;3
3946659926;6200000;2024-08-04 08:57:39;0;33.0;16;18;0;5
4099462438;7520000;2024-08-10 23:30:45;3;85.0;17;19;0;5
2706598840;5900000;2024-08-11 08:30:38;2;52.0;6;10;0;7
3848129003;10950000;2024-08-05 06:21:14;3;65.0;1;20;1;7
3948910815;5160000;2024-08-10 18:46:25;2;42.5;5;5;1;1
2179401374;2850000;2024-08-04 11:44:56;1;25.0;2;9;0;6
4427933284;7100000;2024-08-10 17:25:09;2;56.0;17;24;0;1
4134754725;2600000;2024-08-10 18:30:36;2;36.0;8;9;0;6
4237846679;15000000;2024-08-06 19:36:14;3;117.5;7;9;0;2
4145499878;6900000;2024-08-07 20:42:55;3;56.7;5;5;1;5
3880006910;4600000;2024-08-10 16:07:42;1;41.0;2;5;0;4
3503265325;4800000;2024-08-05 08:13:06;3;59.5;2;5;0;7
4029134215;9000000;2024-08-10 18:58:05;3;84.0;9;10;0;8
3487198226;11500000;2024-08-04 16:49:14;3;63.0;15;22;0;7
4012871135;5700000;2024-08-10 18:52:48;1;40.0;2;19;0;2
4160131506;6700000;2024-08-04 18:58:59;1;45.8;7;25;0;8
3708319710;5100000;2024-08-09 20:34:43;1;41.3;5;9;0;8
4272154089;4200000;2024-08-09 18:02:00;0;28.6;14;20;0;2
4206881749;5999999;2024-08-09 12:42:38;2;53.9;10;10;1;5
4247789649;3200000;2024-08-04 21:01:09;1;39.0;2;2;1;7
4199168751;6490000;2024-08-09 12:06:35;1;42.0;13;24;0;7
4131985409;5150000;2024-08-09 17:20:38;2;47.0;2;9;0;1
4243958495;6599000;2024-08-11 08:25:55;2;47.0;1;5;1;8
4073204442;6450000;2024-08-03 18:03:12;2;52.0;17;18;0;2
4247623002;9100000;2024-08-11 08:15:42;2;48.6;2;9;0;7
4291676102;5650000;2024-08-08 17:36:23;2;46.0;3;5;0;8
4043074254;4860000;2024-08-01 13:12:41;2;43.8;2;3;0;1
4025687207;5000000;2024-08-11 05:45:37;3;62.9;7;9;0;1
3018869611;9700000;2024-08-11 02:41:58;2;42.7;5;21;0;7
4063114147;4100000;2024-08-01 00:47:06;1;32.9;4;5;0;6
3916454974;19600000;2024-08-10 11:02:18;5;102.2;4;5;0;7
4221580365;4500000;2024-08-09 14:06:38;0;29.0;4;6;0;2
3924604315;4000000;2024-08-08 07:30:37;1;39.0;10;15;0;1
3703484268;5500000;2024-08-10 22:56:43;1;40.0;3;18;0;5
4145220496;9500000;2024-08-08 16:51:36;5;94.0;7;12;0;7
4076819114;8200000;2024-08-10 10:05:30;1;50.0;5;18;0;5
4085768201;4100000;2024-08-03 17:32:18;2;45.0;3;5;0;8
4162641370;4350000;2024-08-10 21:19:43;1;35.9;7;17;0;8
4032924345;4265000;2024-08-10 09:38:23;0;31.0;14;18;0;6
4160456343;4200000;2024-08-03 16:39:48;0;30.0;8;24;0;1
4163005523;3900000;2024-08-07 21:56:57;1;37.4;2;3;0;0
4029114788;11900000;2024-08-11 06:04:06;2;60.0;19;24;0;1
4346464605;3950000;2024-08-10 18:20:02;2;44.0;1;3;1;7
4153091058;5300000;2024-08-02 13:36:14;1;40.0;9;14;0;8
3624022731;5499900;2024-08-09 12:16:04;1;41.0;5;6;0;3
4240156027;3850000;2024-08-10 08:41:01;1;35.6;1;17;1;5
4243438082;4900000;2024-08-09 11:09:44;0;30.0;2;25;0;7
4052442553;7350000;2024-08-08 13:21:46;1;40.0;9;24;0;1
4019692882;4500000;2024-08-09 21:00:19;0;23.0;7;25;0;5
3902721714;4300000;2024-08-09 10:56:24;1;43.2;2;3;0;2
3873213494;5000000;2024-08-10 14:00:16;2;30.5;1;3;1;3
4343822190;5300000;2024-08-08 20:16:52;2;53.0;9;9;1;8
4130701567;5900000;2024-08-01 20:50:48;1;36.1;1;8;1;2
4105146112;2500000;2024-08-09 20:20:39;1;28.0;5;5;1;1
4032219355;11200033;2024-08-10 16:43:31;2;102.0;18;24;0;1
4642221591;6800000;2024-08-10 02:26:52;2;56.6;13;19;0;8
4095637495;6600000;2024-08-07 20:35:52;2;42.7;2;24;0;8
4134922218;11200000;2024-08-10 16:41:40;2;85.0;10;18;0;8
4259610350;4900000;2024-07-31 20:58:23;1;37.5;4;5;0;6
4219213062;9400000;2024-08-09 23:29:33;1;45.8;10;15;0;4
3853539354;5555000;2024-08-08 23:54:43;2;51.4;6;9;0;6
4192306075;3750000;2024-08-10 16:11:13;1;29.1;1;5;1;8
4153533819;6190000;2024-08-07 20:00:58;2;54.4;5;9;0;1
3892607370;4050000;2024-08-10 16:01:11;1;33.0;2;14;0;8
4134939518;5100000;2024-08-09 12:00:15;0;28.0;19;24;0;7
3974484417;3190000;2024-07-30 15:53:51;0;21.7;1;1;1;3
4077520300;4700000;2024-08-03 17:01:30;1;37.0;7;26;0;2
4095833880;4850000;2024-08-02 16:29:03;2;36.7;1;2;1;3
4291874093;4100000;2024-08-06 17:48:34;0;26.7;6;9;0;8
4118784967;1980000;2024-07-30 14:53:36;1;26.0;3;3;1;2
3271192511;4450000;2024-07-31 10:28:29;2;35.4;4;9;0;8
4062964966;6200000;2024-07-26 17:53:35;2;51.0;12;14;0;1
1406716151;4800000;2024-07-29 23:39:05;2;50.4;9;9;1;1
3574847120;5800000;2024-08-02 21:46:19;2;53.0;3;9;0;2
4161065441;6245000;2024-08-06 18:31:55;2;45.8;8;20;0;8
3769490170;7340000;2024-08-06 09:09:41;2;48.0;12;22;0;5
2095519150;5050000;2024-07-29 17:20:53;1;35.9;4;14;0;7
3360055940;6600000;2024-08-05 16:30:46;1;37.0;2;7;0;3
3744866281;4580000;2024-07-30 09:32:39;1;35.0;6;11;0;4
3805640704;4400000;2024-08-02 16:55:06;1;34.0;3;9;0;1
3537958475;5100000;2024-08-06 08:55:47;2;45.0;1;5;1;8
4145691610;3600000;2024-08-06 19:54:17;1;34.5;1;9;1;6
3547567199;6350000;2024-08-01 15:02:34;2;48.0;6;15;0;7
2765982465;7000000;2024-08-04 15:00:47;3;73.0;5;17;0;7
3975937384;4400000;2024-07-24 14:29:01;1;40.0;8;9;0;8
4190145682;9700000;2024-07-27 18:06:14;3;70.6;9;10;0;3
3623860596;4500000;2024-08-01 15:16:01;0;32.5;13;16;0;6
4243190742;5150000;2024-08-07 22:38:52;1;42.0;6;11;0;2
4212057215;6300000;2024-08-03 16:07:44;2;41.4;23;24;0;7
3750240382;7200000;2024-07-29 09:42:56;2;49.0;3;25;0;8
